ano_mês,uf,produto,unid,venda,criado_em
2009-03,AL,Etanol Hidratado,m3,8.1,2022-09-10
2009-04,AL,Etanol Hidratado,m3,8.27,2022-09-10
2009-05,AL,Etanol Hidratado,m3,8.512,2022-09-10
2009-06,AL,Etanol Hidratado,m3,8.752,2022-09-10
2009-07,AL,Etanol Hidratado,m3,9.841,2022-09-10
2009-08,AL,Etanol Hidratado,m3,8.797,2022-09-10
2009-09,AL,Etanol Hidratado,m3,9.364,2022-09-10
2009-10,AL,Etanol Hidratado,m3,9.764,2022-09-10
2009-11,AL,Etanol Hidratado,m3,8.365,2022-09-10
2009-12,AL,Etanol Hidratado,m3,9.388,2022-09-10
2010-01,AL,Etanol Hidratado,m3,7.438,2022-09-10
2010-02,AL,Etanol Hidratado,m3,4.408,2022-09-10
2010-03,AL,Etanol Hidratado,m3,4.77,2022-09-10
2010-04,AL,Etanol Hidratado,m3,5.85,2022-09-10
2010-05,AL,Etanol Hidratado,m3,6.041,2022-09-10
2010-06,AL,Etanol Hidratado,m3,6.092,2022-09-10
2010-07,AL,Etanol Hidratado,m3,6.397,2022-09-10
2010-08,AL,Etanol Hidratado,m3,6.596,2022-09-10
2010-09,AL,Etanol Hidratado,m3,6.651,2022-09-10
2010-10,AL,Etanol Hidratado,m3,6.691,2022-09-10
2010-11,AL,Etanol Hidratado,m3,6.667,2022-09-10
2010-12,AL,Etanol Hidratado,m3,8.502,2022-09-10
2011-01,AL,Etanol Hidratado,m3,7.283,2022-09-10
2011-02,AL,Etanol Hidratado,m3,6.68,2022-09-10
2011-03,AL,Etanol Hidratado,m3,6.708,2022-09-10
2011-04,AL,Etanol Hidratado,m3,3.678,2022-09-10
2011-05,AL,Etanol Hidratado,m3,3.895,2022-09-10
2011-06,AL,Etanol Hidratado,m3,3.922,2022-09-10
2011-07,AL,Etanol Hidratado,m3,3.44,2022-09-10
2011-08,AL,Etanol Hidratado,m3,3.433,2022-09-10
2011-09,AL,Etanol Hidratado,m3,3.323,2022-09-10
2011-10,AL,Etanol Hidratado,m3,3.276,2022-09-10
2011-11,AL,Etanol Hidratado,m3,3.411,2022-09-10
2011-12,AL,Etanol Hidratado,m3,4.189,2022-09-10
2012-01,AL,Etanol Hidratado,m3,3.766,2022-09-10
2012-02,AL,Etanol Hidratado,m3,3.485,2022-09-10
2012-03,AL,Etanol Hidratado,m3,3.844,2022-09-10
2012-04,AL,Etanol Hidratado,m3,3.521,2022-09-10
2012-05,AL,Etanol Hidratado,m3,3.273,2022-09-10
2012-06,AL,Etanol Hidratado,m3,3.074,2022-09-10
2012-07,AL,Etanol Hidratado,m3,2.875,2022-09-10
2012-08,AL,Etanol Hidratado,m3,3.073,2022-09-10
2012-09,AL,Etanol Hidratado,m3,2.929,2022-09-10
2012-10,AL,Etanol Hidratado,m3,3.203,2022-09-10
2012-11,AL,Etanol Hidratado,m3,3.231,2022-09-10
